OTUID	10A	10B	10C	11A	11B	11C	12A	12B	12C	14A	14B	14C	15A	15B	15C	16A	16B	16C	17A	17B	17C	1A	1C	1D	2B	2C	3B	3C	4A	4B	4C	5A	5B	5C	6B	7A	7B	7C	8A	8B	8C	9A	9B	9C
GB-GCA-000466885.2-AVFH02000268.1	10.0	15.0	0.0	41783.0	46009.0	61511.0	28243.0	27947.0	33607.0	0.0	0.0	0.0	0.0	0.0	0.0	12277.0	12892.0	17482.0	31.0	34.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	42.0	34.0	7.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0
RS-GCF-001264105.1-NZ-AWFT01000016.1	279.0	26.0	7.0	6.0	0.0	0.0	913.0	0.0	0.0	0.0	0.0	56.0	8.0	0.0	7.0	37484.0	40788.0	55074.0	18.0	5.0	45.0	0.0	37.0	0.0	0.0	470.0	20766.0	14656.0	25.0	21.0	10.0	20146.0	6.0	3.0	0.0	0.0	0.0	0.0	424.0	0.0	8.0	35.0	29.0	31.0
RS-GCF-004114715.1-NZ-CP035305.1--6	0.0	0.0	50.0	39.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	111284.0	110918.0	107464.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RS-GCF-006716385.1-NZ-CP033687.1--3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52706.0	53604.0	51639.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RS-GCF-004114715.1-NZ-CP035305.1--7	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50617.0	51342.0	49183.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RS-GCF-001510975.1-NZ-CZPS01000041.1	0.0	0.0	5.0	6.0	0.0	0.0	246.0	0.0	0.0	6.0	0.0	0.0	93.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.0	59043.0	118821.0	62.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	6.0	89.0	264.0	0.0	0.0
MJ006-1-barcode39-umi54220bins-ubs-8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.0	0.0	0.0	37001.0	43221.0	60089.0	137.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GB-GCA-000468795.1-AWPJ01000352.1	586.0	24.0	25.0	15.0	0.0	0.0	609.0	6.0	0.0	0.0	0.0	137.0	0.0	0.0	24.0	8.0	9.0	12.0	0.0	0.0	98.0	0.0	47.0	0.0	0.0	530.0	46049.0	33401.0	0.0	0.0	0.0	46734.0	14.0	0.0	0.0	0.0	0.0	0.0	633.0	45.0	12.0	0.0	60.0	36.0
RS-GCF-001272315.2-NZ-CP016270.1--3	34.0	0.0	0.0	0.0	0.0	0.0	22953.0	22230.0	26343.0	0.0	0.0	18.0	0.0	0.0	0.0	1851.0	2020.0	2693.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0	9534.0	5652.0	0.0	0.0	0.0	9418.0	0.0	0.0	0.0	0.0	0.0	0.0	346.0	0.0	0.0	0.0	0.0	0.0
GB-GCA-000210515.1-CP002033.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	91344.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
